wl,leaf
673,2.461801242235986
674,2.890436137071662
675,3.0108099688473433
676,3.0930937500000484
677,3.110934579439283
678,3.317250000000019
679,2.871906249999994
680,2.7697499999999704
681,3.8557187499998924
682,2.8244999999999725
683,2.888437499999995
684,3.4316300940438915
685,3.191724137930994
686,4.1465517241378995
687,3.3770219435736712
688,4.046603773584922
689,3.7339308176101205
690,3.4414420062695936
691,4.385094339622643
692,3.987106918238999
693,4.460660377358475
694,4.9480757097792205
695,5.036666666666648
696,5.63542586750788
697,5.376435331230296
698,6.062649842271328
699,7.262145110410087
700,7.082681388012702
