wl,leaf
300,0.3743715846994591
301,0.208032786885224
302,0.28846994535519943
303,0.32598360655737557
304,0.4338692098092702
305,0.2648228882833775
306,0.47857923497267096
307,0.411502732240425
308,0.38278688524590065
309,0.4228142076502751
310,0.40493150684931123
311,0.4269945355191252
312,0.47401639344262536
313,0.3746849315068599
314,0.2970958904109654
315,0.5102739726027425
316,0.4371780821917978
317,0.2672602739726049
318,0.2776712328767114
319,0.5458904109589127
320,0.3912876712328774
321,0.2899452054794736
322,0.35726027397259597
323,0.5672876712328848
324,0.5651648351648352
325,0.43978021978022497
326,0.5446153846153882
327,0.3204395604395625
328,0.4041483516483538
329,0.4920604395604378
330,0.41010989010989535
331,0.506813186813187
332,0.5837087912087818
333,0.4504945054945032
334,0.29057851239669463
335,0.2820054945054875
336,0.34
337,0.36173553719007445
338,0.5388980716253579
339,0.3150964187327856
340,0.23818181818182357
341,0.3345454545454504
342,0.30209944751382045
343,0.4236363636363591
344,0.3644751381215452
345,0.6225068870523434
346,0.24325966850828748
347,0.24377410468320188
348,0.33519337016576406
349,0.462707182320439
350,0.6151800554016444
351,0.6251933701657507
352,0.5479281767955789
353,0.4889750692520734
354,0.5749584487534495
355,0.6110526315789397
356,0.6602770083102711
357,0.7269613259668565
358,0.5301108033241002
359,0.7811666666666579
360,0.5551246537396013
361,0.8278888888888896
362,0.7708587257617792
363,0.7985000000000005
364,0.8412499999999957
365,0.824
366,0.7779999999999779
367,0.9037777777777768
368,0.8426944444444442
369,0.9534166666666741
370,1.1157381615598894
371,1.1246518105849577
372,1.0224999999999977
373,1.1303899721448407
374,1.0835933147632346
375,1.1807520891364915
376,1.0852646239554358
377,1.4204178272980528
378,1.4010306406685231
379,1.1741504178272906
380,1.3550974930362205
381,1.7309497206703877
382,1.7897214484679493
383,1.8710055865921835
384,1.847430167597766
385,1.9234636871508355
386,1.8521787709497215
387,1.9736312849162025
388,2.0185474860335315
389,2.152709497206705
390,2.2593854748603466
391,2.0061173184357473
392,2.2730252100840302
393,2.129075630252091
394,2.204705882352941
395,2.66
396,2.4544537815126284
397,2.4178151260504244
398,2.6236694677871193
399,2.345798319327728
400,2.3361904761904735
401,2.3523595505618156
402,2.895938375350144
403,2.6987078651685397
404,2.760898876404492
405,2.6697752808988753
406,2.910140449438205
407,2.7088732394365955
408,2.9620281690140877
409,2.996056338028166
410,2.934494382022474
411,2.6775842696629097
412,2.651436619718324
413,2.8553239436619804
414,2.7810704225352225
415,2.965802816901386
416,2.674661016949162
417,2.86177464788733
418,2.988619718309841
419,2.9867796610169575
420,2.7246610169491485
421,2.8122033898305094
422,2.8727683615819233
423,2.7587288135593235
424,2.712881355932198
425,3.264350282485876
426,2.770423728813564
427,2.73836158192092
428,3.108728813559328
429,2.8739660056657157
430,2.7706497175141074
431,3.4650141643059316
432,2.771671388101987
433,3.127648725212461
434,3.20906515580736
435,2.6498016997167153
436,2.741448863636367
437,3.3729745042492456
438,2.983579545454582
439,2.4188385269121526
440,3.8123011363635895
441,3.290227272727272
442,3.392698863636365
443,3.110511363636376
444,3.498323863636355
445,3.1313636363636492
446,3.64658119658118
447,3.01763532763529
448,2.7607407407407463
449,2.7417378917378765
450,3.384615384615402
451,3.5701994301994384
452,2.477264957264905
453,3.4513142857142824
454,2.697407407407412
455,3.134285714285694
456,3.098742857142851
457,3.242457142857127
458,2.60600000000003
459,3.0574285714285705
460,3.389199999999993
