accession	lat	lon	elevation
135-008	37.421428	-118.773645	11694
135-009	37.421206	-118.773587	11676
135-010	37.421185	-118.773554	11674
135-011	37.421195	-118.773573	11678
135-012	37.420894	-118.773567	11650
135-013	37.420984	-118.773654	11651
135-014	37.419466	-118.772735	11634
135-015	37.419304	-118.772742	11631
135-016	37.419322	-118.772710	11631
135-017	37.419237	-118.772727	11627
135-018	37.419118	-118.772682	11619
135-019	37.418641	-118.772736	11591
135-020	37.418815	-118.772745	11595
135-021	37.418720	-118.772798	11593
135-022	37.418704	-118.772879	11587
135-023	37.418704	-118.772835	11593
135-024	37.418706	-118.772858	11590
135-025	37.418626	-118.772619	11592
135-026	37.418645	-118.772994	11582
135-027	37.418592	-118.772450	11592
135-028	37.418619	-118.772452	11592
135-029	37.418598	-118.772145	11592
135-030	37.418615	-118.772344	11592
135-031	37.418675	-118.772086	11580
135-032	37.418686	-118.772075	11586
135-033	37.418730	-118.764179	10942
135-034	37.418709	-118.771938	11579
135-035	37.419037	-118.762816	10934
135-036	37.418802	-118.771713	11574
135-037	37.419047	-118.762812	11057
135-038	37.421813	-118.759926	10840
135-039	37.421417	-118.758854	10790
135-040	37.427517	-118.752946	10510
