X50.	X2.5.	X5.	X95.	X97.5.
0.0193388360899789	0.00628391938570275	0.00792011172008195	0.0338807871455207	0.0370518941047338
0.0221307316524975	0.00877004420662464	0.0107998358025455	0.0362854390143564	0.0397917285869498
0.166224235034083	0.137989742246794	0.14228445946579	0.191167937414191	0.196710952926687
0.0042556635259697	2.88619615385612e-5	1.03457900653533e-4	0.0130818739592165	0.0155234917362109
0.331515750133963	0.296886391746733	0.302644560254661	0.361588302692944	0.366923974406916
0.0873590768114143	0.0644636685437626	0.0678165443877406	0.10869081032936	0.112831659571025
0.0104458577563567	7.59326635964123e-4	0.00170498970218805	0.0228193813476607	0.0254047989878436
0.00339236300643163	1.07387395522392e-5	5.16862012481632e-5	0.0124487024953125	0.0145376251863834
0.00485378349653512	1.83620993262234e-5	9.70670713286848e-5	0.0156692294753518	0.0184990004579433
0.00461046635194724	2.18733561871268e-5	8.27234294859752e-5	0.0147438049989201	0.0176291870523053
0.0113648345145114	0.00176065462009608	0.00294990179791654	0.0233619265676847	0.0257417677381935
0.0157590147661411	0.00304752662921834	0.00446408150184046	0.0305346002069792	0.0334357348482326
0.0705948307175339	0.0497291364415505	0.0528356544850692	0.0907993490997609	0.0955828535293714
0.0269202563330539	0.0117484026202706	0.0137720214156722	0.0433025593375099	0.0463385266520164
0.544153702691063	0.506114184850483	0.512544509143529	0.574278572215411	0.580409670106749
0.0111168821971877	0.0010909202709857	0.0021778718904235	0.0233228108731301	0.0254289535593244
0.493643611454781	0.459091775720669	0.465864768891478	0.523023426449901	0.529065213363054
0.00917619861409513	1.06248458410546e-4	4.15773626933533e-4	0.0238122798264257	0.0270885915829416
0.00303662332972474	1.03694055611964e-5	4.26235592179922e-5	0.0117508161179585	0.0136327348892601
0.0313076317069546	0.0176837238220767	0.0194918687979189	0.0456935450950175	0.0487787662614364
0.0511077336317232	0.0334324456571643	0.0361131623483975	0.0685374290146599	0.0713029112323809
0.0664992455790373	0.0463545927559444	0.0491177465120171	0.0860609106802609	0.0890690148141656
0.285401249458551	0.252337613852516	0.257179996888079	0.313355721339741	0.318661699878058
