"newID","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","pop.x","pop.y","avg_long_stamen_length","avg_short_stamen_length","avg_pistil_length","avg_floral_tube_length","avg_crease_to_top_height","avg_crease_to_bottom_height","avg_tube_height_at_base","avg_tube_height_at_inflection","avg_mouth_angle","avg_platform_angle","avg_upper_petal_angle","avg_tube_width_at_mouth","avg_tube_width_at_base","avg_lower_petal_angle","avg_tube_height_at_mouth","avg_mouth_constriction_angle","avg_stamen_length_ratio","avg_longstamen_pistil_ratio","avg_longstamen_tube_ratio","avg_pistil_tube_ratio","avg_floral_crease_ratio","avg_mouth_height_width_ratio","avg_throat_inflation_ratio","avg_nectary_area","total_brightness","chroma","modified_hue","K1","K2","rgb","region","subpopulation","class"
"129-001",-0.0535466,0.0316527,0.0445334,0.0774569,-0.0184523,0.00642763,-0.0290753,-0.0479555,-0.0237848,-0.00633742,"129",129,25.0055,20.574,24.178,18.7745,3.365,1.0755,2.3305,2.7605,57.321,40.1905,154.186,4.6465,2.8595,148.494,4.441,-17.1295,1.21539888302295,1.0342339772993,1.33191230244558,1.2878171634529,3.25177455825967,0.956357139484364,1.20306212690279,1.093,135.819530382017,0.413594377779169,87.846616770125,0.981075,0.018925,"#D860A2FF","sierras","hybrid (VL)","hybrid"
"129-005",-0.0509127,0.039431,0.0578826,0.0790947,0.00959863,0.00697067,-0.014788,-0.0171365,-0.00755984,0.0110989,"129",129,23.633,20.501,24.013,18.239,2.822,1.747,1.572,3.001,61.373,48.922,149.855,5.612,2.289,148.772,4.569,-12.451,1.15277303546168,0.984175238412526,1.29573989802072,1.31657437359504,1.61534058385804,0.814148253741981,1.90903307888041,1.1205,115.371329842977,0.516105088375647,88.315087810219,0.955076,0.044924,"#CA458CFF","sierras","hybrid (VL)","hybrid"
"129-006",-0.0339526,0.0361156,0.0313969,0.049243,-0.0346495,0.0774395,0.00121364,-0.0420708,-0.00176117,0.0839906,"129",129,26.0115,23.215,27.7495,21.652,3.409,1.61,2.3345,3.4695,76.889,41.857,143.165,5.6365,2.6935,139.946,5.019,-35.032,1.12045568991128,0.937629369775944,1.1943007574358,1.25614261961943,2.11739130434783,0.922440727807388,1.49389224578519,0.88875,108.334069357934,0.503396007440993,83.9586589999165,0.827833,0.172167,"#B7498EFF","sierras","hybrid (VL)","hybrid"
"129-007",-0.0574927,0.0397172,0.135909,0.230864,-0.147898,0.0558391,0.0727984,0.0846506,-0.0466378,0.0369883,"129",129,20.733,18.288,21.922,17.9405,3.4735,1.077,2.279,3.129,42.757,32.171,155.18,4.653,2.4705,162.063,4.551,-10.586,1.13369422572178,0.945762247970076,1.13375622026576,1.19877508612676,3.22004730315887,0.979758814089569,1.37184617628538,1.4865,110.944331010245,0.538565846872539,90.5280589822667,0.99999,1e-05,"#C84383FF","sierras","new (VL)","newberryi"
"129-010",-0.0545394,0.0455641,0.143711,0.241052,-0.146757,0.0814359,0.087258,0.0984518,-0.0338942,0.0446535,"129",129,25.064,21.805,25.094,17.868,3.322,1.291,2.087,3.441,61.097,44.81,157.625,5.458,2.678,141.278,4.612,-16.287,1.14946113276771,0.99880449509843,1.4027311394672,1.40441011864786,2.57319907048799,0.844998167827043,1.6487781504552,1.076,122.155550031287,0.465490330736482,88.6359343415008,0.99999,1e-05,"#D05294FF","sierras","new (VL)","newberryi"
"129-011",-0.0551432,0.0343779,0.106559,0.190173,-0.0992386,0.0471549,0.0497132,0.0581445,-0.0367261,0.0131257,"129",129,25.712,23.032,27.018,20.517,4.31,1.197,1.943,3.267,63.176,43.998,142.657,5.35,2.808,154.168,5.507,-19.178,1.11635984716916,0.95166185505959,1.25320465955062,1.31685918994005,3.60066833751044,1.02934579439252,1.68142048378796,1.274,126.394663435768,0.449990395755741,87.6684080133169,0.99999,1e-05,"#D2549BFF","sierras","new (VL)","newberryi"
"129-014",-0.0517888,0.039982,0.152375,0.240753,-0.162526,0.0708422,0.102076,0.0951935,-0.0515085,0.0330512,"129",129,24.1685,21.4455,25.502,17.9065,3.484,1.3165,1.7975,3.126,62.336,53.0685,148.582,5.131,2.943,149.0825,4.8005,-9.2675,1.12705037697735,0.947762053234025,1.35291301815823,1.42815449525909,2.93492101474701,1.03547066848568,1.73819903741655,1.49725,115.88542235995,0.518831743178208,89.2614421697459,0.99625,0.00375,"#CC458BFF","sierras","hybrid (VL)","hybrid"
"129-016",-0.0543364,0.0303151,0.131035,0.213759,-0.118774,0.0808158,0.0974763,0.087499,-0.0388681,0.0256026,"129",129,19.1595,17.285,22.1075,16.203,3.3595,0.8475,2.3925,2.9305,41.9425,26.0625,152.931,5.023,2.609,165.127,4.207,-15.88,1.10845074783128,0.86666769115917,1.18625654222576,1.36848552552326,4.04224703867561,0.83807334564009,1.22625018532363,1.15175,123.311469019032,0.475804568641521,89.7894711224033,0.99999,1e-05,"#D44E92FF","sierras","new (VL)","newberryi"
"129-017",-0.002686,0.0508924,0.0133674,0.0140968,-0.0499244,-0.0407102,-0.0432803,-0.00647771,0.00611437,0.0356169,"129",129,27.214,23.815,31.248,24.649,5.3975,2.048,3.1795,4.5,49.525,43.723,153.417,6.4265,3.46,157.0585,7.4455,-5.802,1.14274946230422,0.870894374240161,1.10437298816514,1.26800703577006,2.64525510417226,1.15820774300426,1.41643859172471,1.815,117.353894890148,0.415010023931414,75.998258537321,0.611139,0.388861,"#B25BA3FF","sierras","hybrid (VL)","hybrid"
"129-018",-0.0537358,0.0347868,0.0335404,0.0774033,0.0220581,-9.53208e-05,-0.00434854,-0.0661711,0.0239542,0.027797,"129",129,22.653,19.985,23.053,17.64,2.576,1.833,2.412,3.078,48.141,48.141,167.226,5.18,3.513,144.634,4.408,0,1.13350012509382,0.982648679130699,1.28418367346939,1.30685941043084,1.40534642662302,0.850965250965251,1.27611940298507,1.358,119.968569016973,0.501390457992628,88.5469076214616,0.99999,1e-05,"#D14591FF","sierras","new (VL)","newberryi"
