"newID","pop","blue_brightness","green_brightness","yellow_brightness","red_brightness","total_brightness","chroma","hue_radians","hue_degrees","modified_hue"
"129-010","129",0.180538335774719,0.0915250615889395,0.169418323184002,0.558518279452339,121.7279210614,0.467125593615282,6.25937787022539,358.635934341501,88.6359343415008
"129-100A","129",0.2268152939558,0.14717586089577,0.167641421147567,0.458367424000863,143.414044578368,0.316767637505658,6.09527611896774,349.233596583732,79.2335965837318
"129-100B","129",0.221545201897798,0.151392188594187,0.17173949928758,0.455323110220435,145.20706228095,0.307984761202691,6.12075720051518,350.693555013829,80.6935550138289
"129-101A","129",0.204522933766683,0.113873673903518,0.187952252378229,0.49365113995157,139.256013795508,0.38013880517458,6.23958035668794,357.501620370952,87.5016203709517
"129-101B","129",0.222680423412837,0.138929164710792,0.198584966486962,0.439805445389409,158.883980421096,0.301839572156244,6.20327158915715,355.421281232116,85.4212812321159
"129-102A","129",0.221365437440202,0.135788858391054,0.180322671574775,0.462523032593969,149.800548060134,0.329301881594905,6.15822466167163,352.840282407163,82.8402824071634
"129-102B","129",0.204522868886419,0.114573854340846,0.166344669565858,0.514558607206876,133.942525811184,0.401802659807846,6.18802446062905,354.547685117762,84.5476851177622
"129-103A","129",0.204199805474891,0.104249713064499,0.176802579457371,0.514747902003239,133.493806402384,0.411411437754762,6.21654273580607,356.181661924398,86.1816619243982
"129-103B","129",0.196526522998603,0.105812955091091,0.17712923406075,0.520531287849556,129.309966174606,0.41517171187847,6.23644716904939,357.322101942841,87.3221019428405
"129-104A","129",0.188906160393845,0.112351750972923,0.177975577282772,0.52076651135046,130.02343457871,0.408561004185897,6.25642825650369,358.466933924053,88.4669339240534
"129-104B","129",0.171205486948142,0.0985480161360951,0.166165947770711,0.564080549145052,121.720662252719,0.465559809524895,6.27236040886031,359.379779012647,89.379779012647
"129-105A","129",0.220638377388383,0.119521174025293,0.18599424872965,0.473846199856674,148.170559718173,0.356014662030838,6.18572010890822,354.415655489645,84.4156554896452
"129-105B","129",0.212425090900294,0.108907195441443,0.178232589474018,0.500435124184245,136.611454344658,0.393018124441373,6.19607537375017,355.008968460829,85.008968460829
"129-106","129",0.259847302031013,0.154430603412269,0.14876052924981,0.436961565306908,150.00047318408,0.303585268937827,5.90856820189302,338.536020933672,68.5360209336717
"129-107A","129",0.248959677718841,0.160719960277808,0.150668345822324,0.439652016181027,150.141471865495,0.295743601344793,5.94438779672011,340.588332541133,70.5883325411325
"129-107B","129",0.219475752206115,0.134645281420436,0.13402028914293,0.511858677230519,119.593007176091,0.386772002794822,6.06040167075124,347.235437888079,77.2354378880789
"129-108","129",0.271216496586143,0.152283504437088,0.120865711725165,0.455634287251604,120.74996393109,0.33856617660731,5.82303706288869,333.635447651777,63.6354476517768
"129-109A","129",0.217870084864959,0.130585792363771,0.135625901615277,0.515918221155993,118.420610147876,0.394011657641395,6.07290360418867,347.951745909797,77.9517459097969
"129-109B","129",0.214943167077379,0.134065245441999,0.142848226919545,0.508143360561078,122.694555599349,0.380962093399598,6.09279272976658,349.091308863617,79.0913088636171
"129-011","129",0.186824300365427,0.0959793728878572,0.168386665400513,0.548809661346203,125.498004383668,0.453205490399629,6.24249135019885,357.668408013317,87.6684080133169
"129-110A","129",0.244137524960975,0.142669457636086,0.156104981755585,0.457088035647354,145.494425527893,0.326509985853168,6.01019034364371,344.358540761066,74.3585407610664
