"pop","ID","long_stamen_length","short_stamen_length","pistil_length","nectary_area_1","nectary_area_2","floral_tube_length","crease_to_top_height","crease_to_bottom_height","tube_height_at_base","tube_height_at_inflection","mouth_angle","platform_angle","upper_petal_angle","tube_width_at_mouth","tube_width_at_base","lower_petal_angle","tube_height_at_mouth","mouth_constriction_angle","stamen_length_ratio","longstamen_pistil_ratio","longstamen_tube_ratio","pistil_tube_ratio","floral_crease_ratio","mouth_height_width_ratio","throat_inflation_ratio"
129,"129-001B",24.953,20.503,24.227,1.149,1.073,18.84,3.266,1.27,2.059,2.805,73.874,50.723,148.046,4.822,3.355,138.081,4.537,-23.15,1.21704140857435,1.02996656622776,1.32446921443737,1.28593418259023,2.57165354330709,0.940895893819992,1.36231180184556
129,"129-011",25.712,23.032,27.018,1.376,1.172,20.517,4.31,1.197,1.943,3.267,63.176,43.998,142.657,5.35,2.808,154.168,5.507,-19.178,1.11635984716916,0.95166185505959,1.25320465955062,1.31685918994005,3.60066833751044,1.02934579439252,1.68142048378796
129,"129-013",23.989,21.329,26.704,1.255,1.063,19.071,4.098,1.052,2.117,2.58,46.594,31.756,154.702,4.825,3.202,158.705,5.15,-14.838,1.12471283229406,0.898329838226483,1.25787845419747,1.40024120392219,3.89543726235741,1.06735751295337,1.21870571563533
129,"129-018",22.653,19.985,23.053,1.277,1.439,17.64,2.576,1.833,2.412,3.078,48.141,48.141,167.226,5.18,3.513,144.634,4.408,0,1.13350012509382,0.982648679130699,1.28418367346939,1.30685941043084,1.40534642662302,0.850965250965251,1.27611940298507
129,"129-019",23.042,19.913,26.03,1.563,1.542,17.676,3.094,1.429,2.771,2.85,58.266,47.083,141.445,5.997,3.748,160.289,4.523,-11.183,1.15713353085924,0.885209373799462,1.30357546956325,1.47261823942068,2.16515045486354,0.75421043855261,1.02850956333454
129,"129-032",26.618,24.65,34.406,1.264,1.091,27.279,7.043,2.184,3.454,4.83,84.105,55.33,118.348,6.989,3.757,157.547,9.227,-28.775,1.07983772819473,0.77364413183747,0.975768906484842,1.26126324278749,3.22481684981685,1.32021748461869,1.39837869137232
129,"129-045",26.108,23.004,30.119,1.035,0.818,23.924,5.792,1.998,2.669,3.928,61.886,42.683,134.793,5.254,3.586,163.321,7.79,-19.203,1.13493305512085,0.866828247949799,1.0912890820933,1.25894499247617,2.8988988988989,1.48267986296155,1.47171225177969
129,"129-033",29.179,24.152,36.778,0.961,0.912,26.805,6.4,1.29,3.137,5.589,83.07,35.884,126.662,6.78,3.34,150.268,7.69,-47.186,1.20814011262007,0.793381913100223,1.08856556612572,1.37205745196792,4.96124031007752,1.13421828908555,1.78163850812879
129,"129-022",25.88,21.793,30.027,0.822,0.841,24.778,7.709,0.879,3.257,5.68,56.129,30.883,134.029,7.28,3.487,169.842,8.588,-25.246,1.18753728261368,0.861890964798348,1.04447493744451,1.21184114940673,8.77019340159272,1.17967032967033,1.74393613754989
129,"129-020",18.677,14.976,28.923,0.483,0.554,18.933,5.115,1.115,3.346,4.928,NA,NA,NA,5.599,3.208,NA,6.23,NA,1.24712873931624,0.645749057843239,0.986478635187239,1.52765013468547,4.58744394618834,1.11269869619575,1.47280334728033
129,"129-024",24.433,20.366,31.554,0.969,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19969557104979,0.774323382138556,NA,NA,NA,NA,NA
129,"129-027",21.726,21.872,31.682,0.654,0.658,NA,7.851,1.809,NA,5.021,70.484,41.44,125.644,6.283,2.909,163.872,9.66,-29.044,0.993324798829554,0.685752162110978,NA,NA,4.33996683250415,1.53748209454082,NA
129,"129-049",28.07,22.754,32.837,1.098,0.791,23.83,5.594,1.637,3.813,4.748,51.398,24.84,149.632,7.624,3.595,158.97,7.231,-26.558,1.23362925199965,0.85482839479855,1.1779269827948,1.37796894670583,3.41722663408674,0.948452256033578,1.24521374246001
129,"129-047",32.233,26.686,33.402,1.115,0.886,26.394,7.518,1.426,3.524,4.509,49.258,26.292,140.478,8.29,3.979,170.265,8.943,-22.966,1.20786180019486,0.965002095682893,1.22122452072441,1.26551488974767,5.27208976157083,1.07876960193004,1.27951191827469
129,"129-029",26.906,23.866,35.998,0.79,0.759,26.933,5.897,1.019,2.744,4.314,32.189,17.649,151.46,6.573,3.408,176.351,6.916,-14.539,1.12737785971675,0.747430412800711,0.99899751234545,1.33657594772213,5.78704612365064,1.05218317358892,1.57215743440233
