newID	pop	avg_long_stamen_length	avg_short_stamen_length	avg_pistil_length	avg_floral_tube_length	avg_crease_to_top_height	avg_crease_to_bottom_height	avg_tube_height_at_base	avg_tube_height_at_inflection	avg_mouth_angle	avg_platform_angle	avg_upper_petal_angle	avg_tube_width_at_mouth	avg_tube_width_at_base	avg_lower_petal_angle	avg_tube_height_at_mouth	avg_mouth_constriction_angle	avg_stamen_length_ratio	avg_longstamen_pistil_ratio	avg_longstamen_tube_ratio	avg_pistil_tube_ratio	avg_floral_crease_ratio	avg_mouth_height_width_ratio	avg_throat_inflation_ratio	avg_nectary_area	total_brightness	chroma	modified_hue
129-029	129	26.906	23.866	35.998	26.933	5.897	1.019	2.744	4.314	32.189	17.649	151.46	6.573	3.408	176.351	6.916	-14.539	1.1273778597167519	0.7474304128007112	0.9989975123454498	1.3365759477221253	5.787046123650638	1.0521831735889244	1.5721574344023324	0.7745	125.142253894522	0.310873008648013	63.9221702415687
129-030	129	29.454	24.708	33.249	26.272	7.79	1.244	3.268	NA	NA	NA	NA	6.317	3.559	NA	9.034	NA	1.1920835356969404	0.8858612289091401	1.121117539585871	1.26556790499391	6.262057877813505	1.4301092290644295	NA	0.7795	154.267618494867	0.224649077829518	68.8205305997745
129-031	129	26.242	19.622	31.6095	26.427	5.734999999999999	1.423	2.981	3.365	70.68100000000001	39.585	143.6875	6.416	4.482	145.63150000000002	7.1579999999999995	-31.096000000000004	1.3373764142289268	0.8257394587791064	0.9973017139816821	1.1961563450762518	4.2308430943689554	1.0436408977556109	1.1410647677178707	0.69475	131.3162973756	0.300348757608397	70.4123459093847
129-032	129	26.618	24.65	34.406	27.279	7.043	2.184	3.454	4.83	84.105	55.33	118.348	6.989	3.757	157.547	9.227	-28.775	1.0798377281947262	0.7736441318374702	0.9757689064848418	1.2612632427874921	3.2248168498168495	1.3202174846186865	1.398378691372322	1.1775	145.232072178316	0.249931102173219	58.0472644056603
129-033	129	29.179	24.152	36.778	26.805	6.4	1.29	3.137	5.589	83.07	35.884	126.662	6.78	3.34	150.268	7.69	-47.186	1.2081401126200728	0.793381913100223	1.0885655661257228	1.3720574519679165	4.961240310077519	1.1342182890855457	1.7816385081287855	0.9365	138.318777348522	0.284813381900931	69.0915877131021
129-034	129	28.238	25.926	37.533	30.424	5.976	1.556	3.107	4.65	65.696	27.96	138.211	7.886	4.448	156.093	7.531	-37.736	1.0891768880660342	0.752351264220819	0.9281488298711543	1.2336642124638444	3.840616966580977	0.9549835150900329	1.4966205342774381	1.2055	159.020540399433	0.202209325867563	61.7526592543859
129-035	129	29.249	NA	35.109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8330912301689025	NA	NA	NA	NA	NA	0.979	104.871861783454	0.394655696785142	70.758227116189
129-036	129	29.465	24.252	32.702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2149513442190336	0.901015228426396	NA	NA	NA	NA	NA	0.671	146.41533752637	0.243403187846829	65.283214208087
129-037	129	28.029	25.372	33.625	27.533	6.005	2.321	3.112	4.792	85.307	63.118	128.934	6.789	3.776	145.759	8.327	-22.188	1.10472174050134	0.8335762081784387	1.018014745941234	1.2212617586169323	2.587246876346402	1.2265429371041392	1.5398457583547556	0.9635	133.088555203278	0.28886143751555	69.0801176123757
129-038	129	32.6515	28.426000000000002	34.775	32.129999999999995	5.266	3.043	3.378	4.003	38.192	38.192	151.763	6.855	4.0605	170.045	8.309	0	1.1514689111197396	0.9395507510980721	1.0163528315356178	1.0834518683407222	1.7305290831416364	1.197952710495963	1.1889285748467673	0.9705	171.472396898078	0.211607176553477	62.717748552955
129-039	129	22.666	18.68	27.467	24.39	3.585	1.881	4.132	5.09	74.228	32.975	142.692	7.218	2.671	143.081	5.466	-41.253	1.2133832976445396	0.8252084319365057	0.9293152931529315	1.1261582615826158	1.9059011164274322	0.7572734829592686	1.2318489835430784	NA	136.90229461562	0.279597812529391	65.3598057711267
129-040	129	25.29	21.447	30.708	24.65	8.502	1.306	4.186	5.423	63.789	37.647	137.925	7.307	3.558	158.286	9.808	-26.142	1.1791859001258918	0.8235638921453693	1.0259634888438134	1.245760649087221	6.509954058192956	1.3422745312713835	1.2955088389871	0.996	136.036950202831	0.282840450666223	67.1943370005633
129-041	129	28.658	23.977	33.678	23.969	6.897	1.422	3.19	5.498	58.393	27.582	132.679	6.976	4.159	168.929	8.319	-30.811	1.1952287608958585	0.8509412672961578	1.1956276857607744	1.405064875464141	4.850210970464135	1.1925172018348624	1.723510971786834	1.0665	129.924817024385	0.313403457600582	66.3562228916418
129-042	129	27.344	24.307	31.471	29.475	NA	NA	3.398	4.669	NA	NA	NA	NA	3.923	NA	NA	NA	1.1249434319331881	0.8688633980489975	0.9277014418999152	1.067718405428329	NA	NA	1.3740435550323717	1.0715	137.343348889641	0.268252484946342	71.4517336628382
129-043	129	24.7515	22.315	32.021	25.021	8.066	0.861	3.175	4.7695	67.312	30.631	122.754	6.711	3.52	169.934	8.927	-36.681	1.1092718412808686	0.773554934598814	0.9892189346120432	1.2798063354596363	9.368176538908248	1.3970266040688577	1.5066645050337435	1.0065	103.938848648909	0.399128211639471	71.779721839336
129-044	129	26.786	24.788	32.984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0806035178312088	0.8120907106475868	NA	NA	NA	NA	NA	0.605	123.515944575582	0.338423058747457	66.8866691552274
129-045	129	26.108	23.004	30.119	23.924	5.792	1.998	2.669	3.928	61.886	42.683	134.793	5.254	3.586	163.321	7.79	-19.203	1.1349330551208485	0.8668282479497992	1.0912890820932954	1.2589449924761746	2.898898898898899	1.4826798629615532	1.4717122517796928	0.9264999999999999	139.410101355247	0.252937149053178	66.5664776857142
129-046	129	24.542	22.254	31.083	24.905	6.382	1.283	3.038	4.815	47.971	26.822	147.076	NA	4.266	164.953	7.665	-21.149	1.1028129774422575	0.7895634269536403	0.9854246135314194	1.248062638024493	4.974279033515199	NA	1.5849242922975644	NA	112.774544721452	0.382832500857524	72.6809702702691
129-047	129	32.233	26.686	33.402	26.394	7.518	1.426	3.524	4.509	49.258	26.292	140.478	8.29	3.979	170.265	8.943	-22.966	1.2078618001948587	0.9650020956828931	1.221224520724407	1.26551488974767	5.272089761570828	1.0787696019300363	1.279511918274688	1.0005	144.486643351029	0.272414214013369	61.151516791054
129-048	129	28.493	24.307	33.643	24.216	5.752	1.961	2.49	4.663	53.921	30.079	149.874	6.738	3.474	156.206	7.713	-23.842	1.1722137655819311	0.846922093749071	1.176618764453254	1.3892880740006608	2.9331973482916878	1.1447016918967052	1.8726907630522087	0.625	165.524319115615	0.187925919328839	60.4148506400485
129-049	129	28.07	22.754	32.837	23.83	5.594	1.637	3.813	4.748	51.398	24.84	149.632	7.624	3.595	158.97	7.231	-26.558	1.2336292519996483	0.8548283947985503	1.1779269827947965	1.3779689467058331	3.4172266340867443	0.9484522560335782	1.2452137424600052	0.9445000000000001	131.420869056707	0.290068602172142	66.1627214886621
129-050	129	28.185	23.573	30.5	26.352	6.22	2.358	3.049	4.748	51.691	30.714	164.012	7.261	4.19	144.297	8.578	-20.977	1.1956475628897467	0.9240983606557377	1.0695582877959926	1.1574074074074074	2.6378286683630194	1.181379975210026	1.5572318793046902	0.8160000000000001	125.119050057354	0.36750975746665	74.8814839413396
129-051	129	NA	21.276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.986	137.749792061532	0.289821488303164	69.2067103890251
129-052	129	25.247	23.759999999999998	28.5935	18.027	3.0845000000000002	2.083	1.8365	3.642	39.1525	39.1525	144.4875	5.635	3.582	176.36	5.1675	0	1.062544921697598	0.8829818600366311	1.4013235903607517	1.586646409439779	1.4902298717853975	0.9187029100834504	1.9828496112629947	2.224666666666667	125.060588080139	0.458955265417573	87.2754515813972
129-053	129	26.825000000000003	23.215	27.256500000000003	20.4665	3.438	1.7275	1.939	2.6615	40.172	40.172	158.162	5.365	2.5965	161.666	5.1655	0	1.1553349225887786	0.9839506396549851	1.3106151887772	1.33173772832366	2.0078994398966548	0.9652898417104203	1.3787824486542686	1.7185000000000001	152.171459603045	0.316375311864509	83.0700846095265
129-054	129	26.0045	23.2715	26.4835	19.269	3.509	1.5865	1.8075	3.2335000000000003	59.2965	45.9375	148.096	5.0365	2.7009999999999996	152.60750000000002	5.0954999999999995	-13.359	1.117412428552667	0.9820546726732433	1.34959285358442	1.3744744027309546	2.2120888678051864	1.0117858839437597	1.8031398804196055	1.701	134.880694828375	0.390871539729545	85.8780136095249
129-055	129	28.797	25.0865	29.193	19.810000000000002	3.3145	1.811	1.947	3.031	47.416	37.3	156.3055	5.041	2.9775	156.279	5.125	-10.1155	1.1477363684577648	0.9862965315175349	1.4540774884875294	1.4739595033429322	1.8491943157101904	1.0168793939783431	1.4749391727493917	1.74025	128.512366472908	0.447167656549799	86.3977170617828
129-056	129	26.019	23.9005	26.939500000000002	19.274	3.6799999999999997	1.4575	1.8519999999999999	2.9	48.4055	41.903000000000006	143.873	5.883	3.59	167.7215	5.137499999999999	-6.5025	1.0901031373374865	0.9658358096573532	1.3499825073922285	1.3977823637471762	2.535617543521151	0.8738653871753763	1.5655102300165205	1.7505	139.356743990353	0.383476397480765	87.5592788682874
129-057	129	26.0285	21.988500000000002	25.179000000000002	18.487000000000002	3.613	1.452	1.7269999999999999	2.6950000000000003	43.921499999999995	43.921499999999995	149.2315	5.65	3.0285	166.8465	5.065	0	1.1836275858455383	1.033645562774742	1.4078470543417525	1.3619474057591678	2.4879234867181834	0.8977892493480617	1.5632822071565897	1.248	102.746319601435	0.584918851201389	89.7846701869785
129-058	129	26.616500000000002	23.683	26.3125	20.29	3.625	1.536	1.8815	2.4675	69.632	46.364000000000004	153.2195	6.4035	3.017	137.149	5.161	-23.2685	1.1238411779806243	1.0115482328218195	1.3119251379197743	1.296869894840682	2.3602142967412716	0.8073241728738941	1.3207171218777911	1.7995	122.238711952787	0.478055176742379	88.4424297637015
129-059	129	26.543	24.002	28.573	19.981	3.3724999999999996	1.39	1.6095000000000002	3.0765000000000002	65.3785	52.6575	138.853	5.7005	3.1435	155.76850000000002	4.7625	-12.721499999999999	1.105931037771081	0.9288986015119032	1.328402086155445	1.4303820982276645	2.4553815768923184	0.8374510482681237	1.9161482471156388	0.91825	133.408560463372	0.44224804564123	86.5174629400418
129-060	129	27.0385	24.740000000000002	28.003500000000003	20.4535	3.268	1.2959999999999998	1.4144999999999999	3.6475	31.7765	31.7765	149.28750000000002	4.970000000000001	2.738	178.9365	4.564	0	1.0929127584987897	0.9655649004930732	1.3222292861781237	1.3694590010036327	2.5216702478615534	0.9184414672016423	2.578397943975121	1.07575	126.275507447634	0.441033197690054	86.4621600323317
129-061	129	27.854	24.701999999999998	26.32	20.0795	2.801	1.681	1.8525	3.472	70.8215	59.7385	149.413	5.535	2.5439999999999996	139.76549999999997	4.482	-11.0825	1.1276470618121042	1.058332066886814	1.387362681276313	1.3110483648627644	1.700188929300554	0.8096290728787698	1.8809464362994774	0.88775	125.84913361011	0.446948679367288	85.6179884757551
129-062	129	27.0965	23.4965	28.2065	20.0165	3.5069999999999997	1.5105	1.916	3.387	75.5685	62.377	143.657	5.7305	2.9130000000000003	140.775	5.018	-13.1915	1.153441692361171	0.9613311932702597	1.3542563112500021	1.4099949112756978	2.3435278264206536	0.8772837384333934	1.7684238788181736	0.9345	131.329464326536	0.431398436034104	86.6580682925264
129-063	129	25.6925	21.894	26.102	19.1205	3.1715	2.666	2.2995	3.0605	45.613	45.613	152.5905	6.443	3.0555	161.79649999999998	5.837	0	1.1735457544212677	0.9844806670348705	1.3451031182526325	1.3660314658087482	1.1914778070642464	0.9096991485187866	1.3329835482436638	1.8747500000000001	123.862203461647	0.457303336855983	86.9301990638351
129-064	129	25.602	22.0505	26.022	20.3145	3.6515	1.5625	1.8535	2.848	77.5775	54.435	139.45100000000002	6.2044999999999995	2.8505	142.9725	5.214	-23.1425	1.1610609671697079	0.9839707571796383	1.260288667515547	1.2809201494299864	2.333430077403455	0.8445547755331526	1.5362764036792962	1.326	131.666864222682	0.416630092224781	87.3053469502439
129-065	129	22.112	19.421	22.775	17.642	2.5860000000000003	1.4055	1.6309999999999998	2.83	52.153	52.153	150.4475	5.134	2.5454999999999997	157.399	3.9909999999999997	0	1.1382878088168928	0.9712937643056133	1.2530409616865263	1.2904193980660117	1.8395875591615956	0.777037502240506	1.7540670033819041	1.3296666666666666	143.617233823165	0.367676199868299	85.223036551131
129-066	129	26.387999999999998	22.813000000000002	26.611	20.1875	2.9429999999999996	1.259	1.87	2.701	70.1245	45.1135	142.257	4.852	2.3994999999999997	147.618	4.202	-25.011499999999998	1.1566259807407624	0.9916464592477168	1.3069645139745036	1.3179912648537426	2.372527649029416	0.8702218534906588	1.4442088668508006	0.804	118.203900273667	0.495987982022984	87.6576705636126
129-067	129	26.0905	22.0425	26.5965	18.83	3.779	1.7435	1.7810000000000001	2.9325	79.6585	63.670500000000004	141.935	5.2875	2.6020000000000003	138.4065	5.522	-15.988	1.1845677622792632	0.9809818383800137	1.3858944839433955	1.4126890234659135	2.167891450528338	1.044918745966632	1.6441386373263414	1.6480000000000001	124.349823424614	0.465824803912007	87.44566639904
129-068	129	25.956000000000003	22.421999999999997	25.884999999999998	20.316499999999998	3.4844999999999997	1.831	1.9325	2.896	68.689	54.326	148.394	6.2895	3.0645	142.9165	5.316	-14.363	1.1577673611511992	1.0038250485213929	1.2775822569079176	1.2745263827267463	1.9060341393473808	0.8456181001962981	1.5000399045932062	1.75725	116.233750572988	0.500117911340083	87.8222638741845
129-069	129	26.3585	22.7695	27.049500000000002	18.8625	2.851	1.8905	1.775	3.427	42.9295	42.9295	154.154	5.657500000000001	3.036	162.91649999999998	4.742	0	1.157621762755583	0.9752984037652861	1.3973831077724161	1.4342704756098563	1.6257916086403081	0.8381865579563846	1.9307496984701327	1.38525	116.238404061944	0.501638043168114	87.2991182621841
129-070	129	25.179	22.2835	26.464	20.0215	3.3845	1.427	1.9035	3.021	61.8585	46.608000000000004	144.3755	5.2125	2.6485	153.766	4.8115000000000006	-15.251	1.1113612288135593	0.9514434703748489	1.2448828240878078	1.3084149115000494	2.393582891720224	0.9476762543920596	1.5862918337218253	1.20775	120.838372132252	0.489885256994831	88.3420805134979
129-071	129	27.264	24.259500000000003	27.064	19.9475	3.144	2.356	1.823	3.407	44.6755	44.6755	154.0455	5.457	2.7705	161.279	5.499499999999999	0	1.1239198019351084	1.0105441782066413	1.366815831699781	1.3584670092496043	1.3379066907775767	1.0074671689008001	1.875727970837452	2.0814999999999997	109.636521768905	0.549325126058428	89.2835421282384
129-072	129	28.384999999999998	24.515500000000003	26.8345	22.505000000000003	3.8015	1.81	1.907	3.354	45.474500000000006	41.166	149.1415	5.973	2.6325000000000003	165.38400000000001	5.6114999999999995	-4.3085	1.1579409536912137	1.057777794618258	1.2614784796939367	1.1924929476057846	2.1007657312816153	0.9414829510104203	1.7862080654627386	1.3980000000000001	169.540438047952	0.256991781453887	85.3668755202011
129-073	129	25.622999999999998	22.389499999999998	27.843	18.312	2.5324999999999998	1.8045	1.8155000000000001	3.0825	49.897999999999996	49.897999999999996	148.1375	6.5875	2.8385	161.9645	4.337	0	1.1444493236792113	0.9205195162776225	1.3995026734953366	1.520418656216268	1.4320348972110075	0.6579595349803449	1.7061134214281979	1.306	122.504881010513	0.452643397868545	88.2421779070993
129-074	129	28.0685	25.1645	28.147	21.77	3.473	1.6465	1.8010000000000002	3.8325	55.5865	36.6145	148.7745	6.387499999999999	2.6014999999999997	155.639	5.119	-18.9725	1.115320004497288	0.9971357974126762	1.2892731778451265	1.2929078753093988	2.099514570282906	0.8034849694067572	2.13891012389474	1.43175	121.894973298604	0.47299053138636	86.4648320855098
129-075	129	24.0155	20.112000000000002	27.1595	19.527	3.3035	1.517	1.706	2.771	53.414	53.414	149.70850000000002	6.0055	2.5665	156.8775	4.821	0	1.1943123885007605	0.8840795060870851	1.2298332108466745	1.3912076380548304	2.2115798867552927	0.8028073836912523	1.6248954723001596	0.7484999999999999	141.295342124847	0.399459114585728	86.1982734881352
129-076	129	21.472	17.887	24.255499999999998	16.886499999999998	2.836	1.5430000000000001	1.9675	2.9509999999999996	59.3625	53.1125	148.59550000000002	4.898	2.8625	152.043	4.379	-6.25	1.2003619500031095	0.8851753393004469	1.2714414261054967	1.4364106737117484	1.8863323776746204	0.8947554601566952	1.5002853567178578	1.1395	118.962000366255	0.478601371662519	87.282962530347
129-077	129	27.0175	24.567500000000003	29.2215	20.808500000000002	3.074	2.518	2.104	3.3129999999999997	51.3055	51.3055	148.904	6.039	3.349	159.7905	5.5925	0	1.1003570876791031	0.9251632068541806	1.2983463229835999	1.404220530543616	1.2238055256521059	0.9286957162285707	1.5817565722438975	1.9057499999999998	128.043816156853	0.453731477936518	86.6458953606273
129-078	129	24.611	22.110500000000002	24.197	19.276	2.279	1.701	1.72	2.4935	42.7805	42.7805	150.187	4.427	2.7795	167.03300000000002	3.98	0	1.1129865842814168	1.017058595143332	1.276683857288461	1.2555258627340633	1.3357624373633068	0.897492773537562	1.4947721119342705	1.1139999999999999	121.10703221235	0.464726042127934	87.4012500701657
129-079	129	27.8815	24.0945	27.2045	19.796	3.445	1.6835	1.8395000000000001	3.0045	52.9805	48.2375	148.3915	5.404	2.7190000000000003	158.628	5.1285	-4.7425	1.1573084652778962	1.0248767197050033	1.409078354136375	1.3748529406194603	2.0480678972612987	0.9488873279927745	1.6351490825688073	1.723	117.935214224517	0.49428223010343	87.9657747613235
