pop	ID	floral_tube_length	crease_to_top_height	crease_to_bottom_height	tube_height_at_base	tube_height_at_inflection	mouth_angle	platform_angle	upper_petal_angle	tube_width_at_mouth	tube_width_at_base	lower_petal_angle	tube_height_at_mouth	mouth_constriction_angle
129	129-036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	129-043A	25.054	8.066	0.861	3.294	4.571	67.312	30.631	122.754	6.39	3.396	169.934	8.927	-36.681
129	129-043B	24.988	NA	NA	3.056	4.968	NA	NA	NA	7.032	3.644	NA	NA	NA
129	129-039	24.39	3.585	1.881	4.132	5.09	74.228	32.975	142.692	7.218	2.671	143.081	5.466	-41.253
129	129-035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	129-050	26.352	6.22	2.358	3.049	4.748	51.691	30.714	164.012	7.261	4.19	144.297	8.578	-20.977
129	129-046	24.905	6.382	1.283	3.038	4.815	47.971	26.822	147.076	NA	4.266	164.953	7.665	-21.149
129	129-034	30.424	5.976	1.556	3.107	4.65	65.696	27.96	138.211	7.886	4.448	156.093	7.531	-37.736
129	129-048	24.216	5.752	1.961	2.49	4.663	53.921	30.079	149.874	6.738	3.474	156.206	7.713	-23.842
129	129-072A	22.721	4.194	1.806	2.188	3.501	55.752	47.135	147.935	5.835	2.56	156.313	6	-8.617
129	129-072B	22.289	3.409	1.814	1.626	3.207	35.197	35.197	150.348	6.111	2.705	174.455	5.223	0
129	129-071A	20.324	3.084	2.212	1.994	3.595	52.708	52.708	151.298	5.327	2.593	155.994	5.295	0
129	129-071B	19.571	3.204	2.5	1.652	3.219	36.643	36.643	156.793	5.587	2.948	166.564	5.704	0
129	129-063A	19.788	3.274	2.823	2.249	3.207	45.629	45.629	151.528	6.148	2.981	162.843	6.097	0
129	129-063B	18.453	3.069	2.509	2.35	2.914	45.597	45.597	153.653	6.738	3.13	160.75	5.577	0
129	129-067A	18.571	3.65	1.752	1.743	2.669	81.929	64.568	138.631	5.094	2.616	139.44	5.402	-17.361
129	129-067B	19.089	3.908	1.735	1.819	3.196	77.388	62.773	145.239	5.481	2.588	137.373	5.642	-14.615
129	129-064A	20.243	3.949	1.607	1.838	2.763	85.102	58.824	137.191	5.925	2.913	137.708	5.556	-26.278
129	129-064B	20.386	3.354	1.518	1.869	2.933	70.053	50.046	141.711	6.484	2.788	148.237	4.872	-20.007
129	129-080A	20.941	2.569	2.125	1.529	1.817	64.671	64.671	154.269	5.945	2.971	141.06	4.694	0
129	129-080B	20.373	3.969	1.565	1.847	2.602	78.872	61.301	129.673	5.822	2.981	151.456	5.534	-17.57
129	129-065A	17.91	2.73	1.479	1.503	2.999	59.705	59.705	151.46	5.182	2.823	148.834	4.209	0
129	129-065B	17.374	2.442	1.332	1.759	2.661	44.601	44.601	149.435	5.086	2.268	165.964	3.773	0
129	129-053A	20.501	3.466	1.897	1.841	2.763	46.989	46.989	158.348	5.177	2.61	154.663	5.363	0
