pop	ID	long_stamen_length	short_stamen_length	pistil_length	nectary_area_1	nectary_area_2
129	129-103B	26.580	22.187	29.321	1.667	1.542
129	129-101A	25.222	23.129	27.996	1.252	1.331
129	129-101B	25.449	23.691	29.055	1.221	0.995
129	129-137A	29.340	24.148	34.369	0.951	1.082
129	129-086A	27.452	23.649	32.845	1.960	1.912
129	129-086B	27.224	24.538	32.529	1.467	1.308
129	129-113A	31.087	25.576	34.244	1.141	1.117
129	129-093A	27.575	23.888	30.522	1.522	1.612
129	129-093B	27.840	23.873	28.791	1.449	1.234
129	129-094A	25.964	23.618	26.581	1.787	1.291
129	129-094B	28.087	24.850	27.935	1.302	1.153
129	129-099A	28.023	24.147	28.756	1.708	1.797
129	129-099B	27.955	23.667	28.482	1.470	1.889
129	129-106A	25.833	21.621	33.369	0.902	0.971
129	129-112A	24.887	22.722	29.153	0.509	0.875
129	129-112B	25.159	23.419	NA	NA	NA
129	129-091A	25.226	22.836	28.021	1.004	NA
129	129-091B	26.567	23.045	29.300	1.345	1.081
129	129-121A	30.570	21.923	37.071	0.947	0.980
129	129-121B	30.354	22.657	36.436	1.051	1.030
129	129-148A	26.244	20.851	30.404	0.733	NA
129	129-123A	29.458	24.781	37.014	1.128	0.915
129	129-126A	26.219	22.288	28.421	0.732	NA
